Title,Author,Date,Content
Advice and Help,CanadaNorth,2024-01-31T03:36:05+00:00,"My mom (75 Years old) went for a colonoscopy in March, 2023. During her colonoscopy, the surgeon indicated that he had a hard time with the colonoscopy because of a blockage. He deemed it suspicious and informed my mom that his first thought was Anal Cancer. He indicated that it was treatable and curable. My mom prior to her diagnosis was an avid 3-4 mile/day Walker and healthy eater.My mom subsequently went for a CT Scan and went to the Cancer Center to begin radiation for her Anal Cancer in April, 2023. The Radiologist/Onocologist was surprised when he saw the CT scan as it appeared that the Anal Cancer had metastasized and spread to her lymph nodes and liver with 2-3 spots in each location. My mom then went for an MRI and where it was verified as well. This new development meant that mom would start Chemotherapy treatment right away. My mom has experienced Chemotherapy before as she battled Cervical cancer in 1975 and Breast Cancer in 2003 where it was discovered that she had the BRKA Gene.Mom began her Carboplatin-paclitaxel regiment in May, 2023, with 3 weeks on Chemotherapy and then 1 week break with the Cycle to begin again for another 3 weeks with 1 week off. This continued but my mom was having severe fecal incontinencd and we brought this up with her local doctors but they assured us it was because of her cancer. At the end of June, 2023, we brought mom to the ER as she was severely disdained around her abdomen. The doctor in the ER determined that there was a large blockage in her rectum and colon that was putting pressure on her Bladder. We also notified him of the fecal incontinence and discomfort mom was having from her anus as we were told the pain was the tumour in her anus. After further examination from the ER doctor noticed that it was a large abscess near my mom’s anus and that it needed to be drained. It was subsequently drained and after many attempts to empty her bowels the Surgeon notified us that a fistula had formed because of the fecal blockage in her rectum and colon.In order to allow the fistula to heal a Double Barrel Colostomy was performed. The surgeon told us that he tried to remove as much of the fecal mass and fecal impaction that had been in there for what he determined to be many months. He said that it was hard as a rock and the size of a grapefruit. She also developed a fistula near her stoma.Mom was in hospital for over a month, but was able to continue her Chemotherapy treatment 1 week after surgery. Before being discharged after 1 month in the hospital, the doctors had completed several CT Scans which showed that the lesions on the liver and lymph nodes were gone and that the tumour had shrunk considerably.The hospital stay greatly affected my mom as she had to learn how to walk again and regain her mobility (she is still struggling but walking a lot better now). After her MRI in August, 2023 her onocologist indicated that the Cancer Lesions on the liver and lymph nodes were gone and that the tumour was gone and that there was no evidence of any cancer. We were elated! He wanted to continue another 6 Chemotherapy treatments just to make sure that it removed any further cancer cells.After her last treatment in October, 2023 (18 treatments total) and subsequent CT & MRI scan, the same information was shared…no cancer visible anywhere! Again we were in such disbelief and elated. In November, 2023 mom had some internal bleeding which was a tear in her colostomy. That healed through some blood transfusions and bringing up her Blood Levels. She had 4 blood transfusions over the course of her Chemotherapy treatment. The doctor did notice that she had a minor lung infection therefore was prescribed antibiotics and sent home. Mom then had 2 Iron Transfusions to help with increasing her blood levels and then had a CT Scan in December to see if the minor lung infection had cleared up, which it did, however they noticed 2-3 lesions on the liver. Our onocologist sent mom for  an MRI at the beginning of January, 2024. We received the results of the MRI indicating that there were 5-6 new lesions with the largest being 12 mm and smaller. Our onocologist indicated that he wanted to start mom on Immunotherapy (Opdivo - Nivolumab) but we needed to sign some information. 2 days after we received a call indicating that this immunotherapy was not covered by our Province in Canada or their medical plan for my moms type of cancer and that we would have to find alternate payment options. However things have changed. We were told by our onocologist that (Opdivo - Nivolumab) was not permitted for treating my moms cancer and that he was now applying for Keytruda (pembrolizumab) to be the immunotherapy for mom ONLY if her biopsy tests positive for the dMMR gene. If she doesn’t have the gene then the only other option would be to:begin Chemotherapy again with either a new regimen or continue with her old regimen (we are not sue if our mom can handle this)stop treatment all together So we need some advice.Are there any immunotherapy treatments that would work for my mom?I have heard about low dose chemotherapy…is this possible?We need some help."
POST RADIATION PROBLEMS HIP AND PELVIC BONE DAMAGE,lizgino,2013-04-17T09:39:47+00:00,"Is anyone dealing with this?  I was diagnosed in April 2011 and had my treatments (chemo and radiation) through May and June.  I was stage III so I had pretty intense radiation, including pinpoint to specific lymph nodes that were affected.
I have extreme low back pain, spasms (he says probably related to muscles trying to support joints), my hips are tight and always sore.  The pain is constant, dull and REALLY uncomfortable.   He examed me no signs of returning cancer in anal area, but did CT Scan to clear rectum and lymph nodes.
Just wondering if anyone required hip replacements down the road, or had problems walking, etc.  I'm going to begin Les Mill's flow class (yoga, stretching, ti chi etc to work on flexibility).
MD says not much can be done, and that  radiation side effects will continue.  Any guidance will help! Thanks!"
Anal Cancer & Multiple Sclerosis/Auto-Immune,loriellen222,2024-02-28T00:03:58+00:00,"Hi, I am a 52 year old woman who is in the middle of treatment at MSK.  Typical protocol 27 Radiation treatments, 2 Mito and 5 Xeloda M-F.  I am wondering if there is anyone else who also has MS? I take a monthly infusion drug Tysabri which is an immunomodulator.  My Onc says AC is directly related to me taking this drug.  I'm worried about continuing any MS medication since they are all immunosuppressants, for fear that AC or any HPV related cancer will reoccur.  Does anyone have any experience with this? Any thoughts?Thank you"
Getting BACK to living!!!!,drpearl,2023-07-02T18:33:36+00:00,"Hi all, just checking in. I am one year from my diagnosis now. My treatments ended in Sept 2022. I had a few really dark months and was unable to shake the fear of incontinece. My urgency kept me home and afraid to do much. It was creating more anxiety and messing up my household moral. None of us were able to work. Some on disability, some had run out. We were a mess!!!I had a breakdown in March with my surgeon and nurse navigator. I had another down day in April with my Onc. He called my PCP and they started me on Wellbutrin. It took several days, but I STARTED TO HAVE CLEARER THINKING. I began to focus on my nutrition and my body became less achy and I felt able to move better, less joint pain. I did 8 weeks of physical therapy for my hips after radiation, and now I am in Pelvic floor theraphy. I now look for options instead of excuses. Now it is July again and I am feeling strong, I am running and training for the 2023 Chicago Marathon. I am reclaiming my power!I thought my life was over, feeling doomed to being a sad housebound middle aged lady who had lost all of her nest egg to cancer. Well, I am starting a new business and a part-time job as well. I have started to look for solutions that work for me, instead of searching for justification for my short-comings. I know how easy it can be to just stop trying because this horrific uncomfortable to talk about cancer paused my life for a while. But I am here to say NO MORE!!! Cancer had enough of my time and energy, I vow to continue to do better to reclaim my power and live my life.LIFE is OUT there!!! GO get it!!!"
10 years and grateful,sandysp,2021-08-31T00:57:48+00:00,"Hi, 
I used to be on this board every day. It was a lifeline. I wsa very frightened and hurting. Anal Cancer put me through a lot too. But I am happy to say even though my cancer was late stage, we  beat it back with the protocol treatment, chemo and radiation, simultaneously. For me it was brutal. I am alergic to Sulfa and so they could not give me the Sulfadine ointment and I had to make do throughout with just Aquaphor for the radiation burns. 
Now, it is such a distant memory. It has been ten years. My last treatment was August 18, 2011.  Having anal cancer taught me a lot about myself and all the people who work in cancer treatment and rehabilitation. i am very grateful. Push through it. It is worth it.
i discovered i have Lymphodema and have faced and managed it successfully.Also, If you have lymphadema as a result of the cancer invading your lymph nodes, disabling them, learning to take care of it is not hard. I now feel everyone would benefit from the self care I give myself to assist my lymphatic system. That I had it and it was discovered, was at first depressing and daunting,. But I am pleased to say, so far, it's not bad at all to do what it takes to manage it..The benefits far outweigh theh challenges.
Hang in there and keep supporting each other. The interactions on This board with survivors taught me a lot and gave me a lot of support and hope when I needed it most.
God bless you.Hang in there.
Sandy"
Itchy Itchy Itchy ! Skin is itching fiercely after chemo,Rebar,2024-01-20T17:51:44+00:00,"I just finished my last round of chemo, #6, The next day ( Yesterday) I was over come with severely itchy skin, everywhere but especially my arms and legs.I never had this reaction after any of my previous treatments. The only thing different about this one was that they stopped the Taxol infusion, to ease my newly acquired neuropathy. Not sure if that's the reason.I have eliminated all laundry caused issues, and used some Eucerin cream made for Eczema, as well as aloe vera, my trusty backup for skin irritations.Just wondering if anyone else has experienced this, and what was done to help.I've never had this issue before, it's driving me absolutely nuts.I"
Wake Forest or Atrium Health Levine in Charlotte,EmilySB,2024-01-22T12:46:24+00:00,"I am exploring my options for a 2nd opinion or treatment outside of my hometown.  I know Duke is probably the most well regarded cancer center in NC, but Wake Forest (NCI) and Atrium Health Levine Cancer Center in Charlotte are closer to me.  Does anyone know anything about these 2 places in regards to Anal Cancer?Thank you!"
Scans after Radiation and Chemo,Tamt,2023-11-29T17:34:39+00:00,"Hi everyone I’m new here and I’m just looking for a bit of clarification my current experiences with Anal cancer treatment stage 2.I finished my last radiation treatment 4 months ago, had a scope done by the surgeon and he claimed tumour was gone “just a scar” this was excellent news. And he doesn’t want to see me for a year.Oncologist has ordered CT scan and PET scan anyway even after this news (internally I was freaking out) CT showed some residual small mass that could be scar tissue as I had two surgeries, 2 infections and 30 radiation treatments in that area as well my original tumour was very large.PET is tomorrow and I’m now on this roller coaster because surgeon told me to go home and celebrate but these scans have me panicking and I thought I was currently ok.any insight would be great, I understand these are routine scans but how often does scar tissue show up in the treated area? My assumption is quite often but I’m not a physician. Thank you in advance."
Pros and Cons of traveling far away for treatment,EmilySB,2024-01-17T20:23:16+00:00,"Hi -I don't have an official anal cancer dx yet,  my biopsy is Friday, but my Dr. said it is likely cancer from the office exam he did last week.  I have been having symptoms for a long time, but they have gotten worse (a lot of pain and bleeding) for about a month which lead me to the CR surgeon.  I am trying to do all my research so if/when the dx comes I can be prepared and not overwhelmed. I live in a mid-sized town with a local hospital that actually doesn't have the best reputation and is going through some problems right now, including be sanctioned by the state for some issues. There is one mid size oncologist practice center here.  One oncologist in that practice lists anal cancer as a ""specialty"".  The closest large university cancer centers are 2-3 hours from here (Duke and Wake Forrest).  I am a 47 yo mom with a 12 yo daughter and caring/supportive husband.    We have already decided that if it's cancer, then I am going to take a leave from work for maybe even up to 6 months, so we will take a hit on our income, but we will be ok.  But it would be a major stretch for us to afford a place to stay while I am getting treatment, but we could probably swing it.   I would also be alone, with no support.  My husband owns his own business and couldn't leave with me, plus he would need to be home for our daughter.  They could maybe come a few weekends to visit.  I can't imagine being alone going through this.  My mom could potentially come for some, but my dad needs care for an upcoming surgery, so she could maybe be with me for 1-2 weeks.  It sounds like the treatment for AC is pretty standard.  Is it worth it to consider a major cancer center/university treatment?  What can they offer that my local doctors can't.  This is assuming stage 1-2/3.  If stage 3/4, than I understand a larger cancer center would be the best way to go.Thank you for any insight."
Newly diagnosed with anal cancer,lge,2023-12-07T22:18:07+00:00,"I went in for hemorrhoids to be removed and was told I had cancer not hemorrhoids.  I have heart condition and vascular issues, I'm not sure if I want chemo and radiation.  I need to see cardiac Dr and gynecologist they feel it may be at base vaginal opening too. I'm having pet scan next week. How do you make decisions about taking treatment or walking away let cancer do what it will."
Chemo drugs & Mitomycin  combined with RA drugs.,smr7059,2024-01-06T03:22:27+00:00,"I have StageII Anal Cancer & would like to know if anyone also has Rheumatoid Arthritis, in addition to their cancer diagnosis.  My treatment starts 1/8/2024 & I would appreciate any comments on what to expect.  Thanks for your help."
