Title,Author,Date,Content
Hello,Helen321,2024-09-09T05:34:40+00:00,"Hi all. Just popping in to say hello. 12 years NED. I never adapted to the new format so I don't come on much. It used to he user friendly. It's really hard to follow on my phone. I have a lot of post cancer issues, deal with a lot of pain from the botched surgery but I bet a lot of us can sat that. I just keep on trucking as do we all. Love to all. Hope everyone is or becomes NED. Helen"
How worried should I be from latest MRI results?,pbiflyer,2024-10-04T14:26:09+00:00,"4 years ago, was diagnosed with colorectal cancer in a polyp. The lab results showed it was invasive to the edge of the polyp. Had just a rectal excision for the area around the polyp and it showed no cancer. Forward 3 years and I was diagnosed with prostate cancer. Prostate was removed in April and again, the cancer was up to the edge of the removed portion. The doctor seemed to think that was fine. PSA and CEA tests come back negative at the end of July.MRI earlier this week showed thickening of the wall.They called it T1/T2.  But they caveated it, saying it could be due to underdistention. So how worried should I be? Any insight? Colonoscopy is scheduled in 2 very long weeks away. Results:IMPRESSION:1. T1/2 N0.  Suggestion of annular rectal wall thickening in the mid rectum although this is nonspecific and may be due to underdistention, the muscularis propria is intact as well as the mesorectal fascia widely clear, recommend correlation with colonoscopy for intraluminal evaluation.  FINDINGS: Suggestion of annular rectal wall thickening in the mid rectum although this is nonspecific and may be due to underdistention, the muscularis propria is intact as well as the mesorectal fascia widely clear, recommend correlation with colonoscopy for intraluminal evaluation.  Moderate colonic diverticulosis.Lymph nodes: No suspicious.Body Wall: No acute abnormality.  Small bilateral fat-containing inguinal herniasBladder: Nondistended bladder is grossly normal, suboptimally evaluated.Vascular:  No aneurysms."
"Father starting chemo soon, any advice?",sunflowerdaughter,2024-07-19T00:15:04+00:00,My father is 67 and recently diagnosed with colon cancer after finding a partial obstruction due to a tumor. He already had the resection but 4 lymph nodes showed some cancer so now he will be getting a port next week and starting folfox soon every other week for 6 months. Any advice on what to do to keep side effects to a minimum? Any foods to avoid or to eat? I am worried about keeping his spirits up because he already seems defeated. Any advice is welcome!
IBS,drmrgirl47,2007-04-02T17:14:08+00:00,"Hi everyone,    I hardly post anymore but I do read everyone's messages daily and pray for all of you.  I was just wondering if anyone here has developed Irritable Bowel Syndrome.  I would appreciate any input you may have.  I am 3 years 2 months NED (thank God) but still have excessive bowel movements, much gas and terrible spasms.  I have tried many medications and nothing seems to work very well.  Some days, I am perfectly fine but others; ugh...It is getting hard to travel and I was wondering if anyone has IBS what do you do for it and what do you take (if anything).  I have tried to pinpoint foods that might trigger these attacks but to no avail.  Thanks for listening."
Help me understand,Nikki1983,2024-09-15T14:46:30+00:00,"My colorectal cancer went from early (stage 0) to stage IIIc. So all my trust and faith in Mercy medical care has been used up. But their overly optimistic feeling oncologist tried to sell me 80% odds of complete recovery and my own research says 44% odds of complete recovery. I also feel like Mercy would say literally anything to stop me from suing my onetime PCP for dismissing my complaints for two years, that's right, a steady two years of bloody stools before he referred me to someone who listened and ran testing.And I get everyone's optimistic attitudes but my PCP failed me.  So I'm going to live, but I'm so mad I just want to punch someone, which isn't my personality at all. I'm becoming a stranger and monster.  But I'm losing all of worldly goods, probably even our ****box apartment and once again no one is helping. I can't keep running my fiancé ragged with work to tread water and expecting her to be my caregiver! I'm so sorry for the dumping, I really needed an outlet and some help/a guide/hope."
TAHEEBO TEA,kennyt,2013-08-13T18:22:00+00:00,Doe's anyone know anything about this taheebo tea and it's cancer fighting claims?
Stage 4 Colon Cancer update,sammer4u,2013-08-20T18:58:07+00:00,"It has been quite some time since I have visited this site, mainly becuae I have been very busy.  I found out I had stage IV colon cancer November 6, 2011 at the age of 41 after finding a tumor in my colon.  They removed the tumor, gave me a colostomy and tested the tumor.  December 2011 I had a power port installed in my left shoulder area, and started chemo end of the year.  After two treatments they had to remove the power port as it was leaking emfactic fluid.  Apparently the tube was too close to the duct that carries the fluid and drained into the port tube.  When the port was accessed they would get a white milky fluid out of it and would continue to flow while accessed.  They then installed a PICC line in my left bicep.  This I was told was to be in of replacing in about 4-6 weeks.  I coudl feel everythign as they did the PICC line insertion, as the doctor admitted they may not have numbed the area enough.  But he proceeded, and after that experience I said that it had better last longer than 6 weeks as I had 10 more treatments to go.  I had a PET scan which was an experience I will never forget.  They bring the special cocktail in a cement lined box (makes you wonder a bit) and tell you after you get injected with it to jus tlie there, do not move, do not hink about anything.  And after the scan is performed, they tell you to make sure you drink plenty of fluids and stay away from pregnanet women and young chidren.  I went thru at least 7 treatments and the ocnologist determined the tumors were shrinking.  I had 6 tumors in my liver, and one actually disappeared.  After meeting with a liver specialist it was determned that I was a canidate for a liver resection.  I need the approval to move forward because of my stage and location of tumors.  My oncologist said that after the met the specialist that I woudl be a shoe in for the surgery, being that I was ""young"".  In the next few weeks I had numerous tests, visits to the hospital to get me prepped for the surgeries that would entail.  May 2012 I had a procedure called a Portal Vein Embolization.  The doctor went in removed a tumor on the left side of my liver, and tied off the blood flow to the right side.  This was to force the left side to grow and promte the healthy part of the liver to stay healthy.  The Portal Vein Embolization was done laproscopically, and was a quick heal time.  After 4 weeks of post surgery time, they determined the left side was doing well and growing and the next step was to be liver resection.  I went in the end of June and all went well.  I came out with a huge backwards ""L"" on my lower stomach area and of course sore.  I went in June 28 got out July 2.  The summer here was very hot and dry which did not help me out any.  Once home I was very uncomfortable.  They gave me some pain medicine and said I was to take a stool softner with it.  Well, we forgot to get the stool softner and found out the hardway why I was told to get it.  Rushed to the hospital for internal cramping and pain, after they gave me some Magnesium Citrate (my new firend) I was fine.  The entire time I was home I slept in a recliner.  July 7th I was waken up with pain in the incision area.  It was a Sunday and no one was available for consult but said to take some aspirn and continue to monitor the area.  Mondya July 8th I called the hospital again in pain, and redness and swelling in the incison area.  After sending a picture via cell phone to the doctor they were going to determine what they wanted me to do.  An hour later they called and said they wanted me to be at the hospital at 11:30.  It was already 10:15 and it takes an hour to get to the hosptial and I needed to find a ride in as my wife was finally at work.  I got to the hospital at 11:35, checked in and waited in the doctors office.  For whatever reason I decided to stand while waiting.  They got me in quickly and as I sat down in the doctors chair I felt a wet liquid running down my belly.  I pulled up my shirt and there was this puss oozing from the horizontal incision.  I had an infection.  I was admitted over night and pumped with antibiotics.  I was informed I coudl take a shower on Saturday after my Monday departure from the hosptial and have a feeling that is what caused the infection.  I live on a well system, and that may have caused me more inssues than just getting clean!  Anyhow, I now had an open wound that needed to be wet/dry packed 3 times a day.  Not sure how long, but had numerous visits to check out afterwards.  My final chemo treatments were put on hold.  At this point I was 9 months into my fun, and this was the very first time I decided I was done playing this game. I wanted to be done, be able to do what I wanted.  I was finally healed up enough that my chemo treatments could continue, and it was finally September.  After my 8 treatments I was able to scheudle my ostomy reversal.  That surgery took place November 16, 2012 one year and 10 days from the start of this.  After getting thru this surgery and passing some solid stool normally I was released home.  Then the long road to recovery and a normal life ofr so i thoiught.  I had a follow up with my Oncologist in mid December and things were looking good. He said to me that he had to modify a stage III scheudle but here is what we were going to do.  Follow up visits every 2 months for the first two years.  Then 4 months for the next year, and then 6 months to the first 5 years.  Then the next 5 yeasrs (a total of 10) I woudl see him once a year.  Well, none of this sank in until I went to see my surgeon as a follow up to the ostomy reversal and said that I had to have a modified stage III scheudle.  She said, yeah that does not surprise me becuase you were not suppose to be here with us.  That is when it really hit me!  Stage IV was a serious stage.  I never unitl this point in January 2013, realized what kind of battle I was going thru.  I never gave it any thought.  I just wanted to move forward and did everything the doctors asked of me.  I never once looked back.  The only time I felt down and wore out was with the open wound.  That drained me.  At that point it made me think about things a bit and realized that for 41 years of my life I made it without one surgery.  Now in the course of 375 days i had 9 surgeries.  All of which I was told was serious.  My liver specialist (now I realize what she was talking about) mentioned that she has done a ""few"" of the Portal Vein Embolizations and liver resectiosn on someone of my state. She never operated on anyone with more than 3 tumors.  She said that her professional opinion was that if I can stay clear for 2 years that I will be good to go!   I continue that thought today.  I was given a clear adgenda, to do whatever I want, to eat whatever I want, to live life to it's fullest.  We questioned the specialist after the follow up after the liver resection about my diet and beer...  she said ""hell this is Wisconsin, go have a brat and a beer"".  Of course I do not over indulge, but I enjoy a brat and beer every so often.  Getting back to the PICC line, I only had one, and it was in me for 48 weeks.  Never had to have it replaced or checked out.  It did give me a issue a couple of times, but never bad enough to have to replace. Also for my chemo treatments, I was in the oncologists office for 5-6 hours getting the cocktail, and left with a pump for the next 46 hours.  
 
My whole point to this is to give a little insight to all going thru this whether it is as serious or less serious as myself.  I hope to let anyone know that even though it is a stage IV condition or lower, never give up hope.  I never knew (probably best for me) what stage IV meant, nor did I care.  I just wanted to move on with my life.  I met a great woman in August of 2011, and she stuck with me thru the whole ordeal.  She helped with everythign flushing of my PICC lines, to packing my wound.  I did marry her this past August as a matter of fact.  I have never felt as good as I do now.  And I honestly can say I did not have a negative experience with anything I went thru.  the Infection/open wound wa a bit hairy, but I made it thru and with my beatiful girlfriend at the helping and pushing made the difference.  I am not saying I am a poster child for this, nor am I a hero... but I am here to help and talk about everything and anything about this whole ordeal.  I had a friend of mine get diagnoised with the same thing 1 week before I was.  He was going thru the same treatment scheudle, however he did not make it. He died from his issues 6 months after we found out.    I don't claim to have all the answers, or the correct ones however I do have answers for what I dealt with and went thru. 
 
I know this is a long read, and if you are still here after all that reading it means that you have questions, or I was able to answer them, or you went thru something similar.  I honestly encourage anyone of you starting to go thru this, have been thru this, are in the middle of this, or are a caretaker to ask me anything.  Again I am willing to answer anything and that literally means anything.  You want to know about the most embarassing or private moments or what to expect..  let me have it and let it be known that you will get an answer.  Please feel free to private message me, and I will get you my email address.  I do not check this site to often, and decided to check it out this afternoon after lunch.  I feel I might be able to give some hope, insight, and let you see the light at the end of a tunnel that many doctors try to paint. Hate to say it, but I HAVE been there and HAVE done that for the most part!
 
I am currently clear and now the oncologist has bumped me up to every 4 months for check ups.  Feels good about my progress and outcome so far!
 
Hope everyone is well, and moves on.  Pleae remember that most of this is aobut your mindset.  Never let it get you down. Live everyday as if you had no problems at all.  Never let it sideline you, or use Cancer as an excuse! I appolgise for any spelling errors as I was trying to get alot of information out while trying to get back to work.  I have left out a lot of stuff which I can and will share if interested!"
Buster's Story,BusterBrown,2011-01-11T02:53:22+00:00,"On Dec 14th, at age 42, I was diagnosed with Stage IV Colon cancer, it had spread to my liver. Several weeks later, after doing some research and talking with a few doctors, I elected to do chemo (folfox)in hopes that my cancer would shrink. After 3 doses of Folfox the three spots I had on my liver were gone and my primary tumor had shrunk. A month later, I had a colon resection and I was fortunate my doctor only took 8"".   Several weeks later I was back on Folfox and a month after that I started radiation. They radiated the site of the resection, and I'm happy to report it's not come back. After my 5th week of radiation and tenth dose of chemo, I was scanned and it was determined that I was in remission. Fast forward Feb 2005, had a Ct Scan, cancer was back in my liver, this time, one spot. I elected to have open surgery and my doctor Cryo'd my tumor and felt confident he got it all. Was back to work in 3 weeks. In June,2005 we did another CT Scan, cancer gone! Fast forward to Febuary Oct 2008, had ct scan, spot appears on my liver, seems to be in the same place as cryo'd spot. This time around I elect for another open surgery, this time surgeon does liver resection. I also start folfiri regimine. At this point, I'm seemingly in remission, but I have to wait 3-6 months to see if anything popped up.  Fast forward to Nov. 2009, feel pain in my right lung, they do a ct scan, this time they find a tumor in the plural(lining) of my lung, it's inoperable and the only way to treat it is chemo. From Nov. to this day, I'm still getting chemo treatments, I go once a month, I've had 42 doses up to this point. I hope to do 40 more:)Today, I'm happy to report that I seem to be keeping this cancer in check.  My overall health is good, I go to work everyday, I chase my 8 year old boy around, and most people I know don't even know I'm sick. Best advice I can give is don't stop living, don't let this disease rule your life. Compartmentalize your illness and visit it when you must, but when you're done, put your illness back on the shelf and live your life. Head down and full speed ahead:)"
Stage 4c colon cancer,atxmom,2024-09-17T15:35:52+00:00,"I’m new to this forum and looking for information regarding my daughter, now 41, who is 22 months into treatment for colon cancer that had metasticized to her ovaries, 8 of 38 lymph nodes, omentum and peritoneum.  She had a successful cytoreductive surgery initially with colostomy,  followed by 12 chemo treatments of Folfirinox, then a second surgery to remove anything suspicious, reverse the colostomy and perform HIPEC, but within 6 months, a PET scan revealed four spots on the peritoneum so she just completed 12 more treatments minus the oxyplatin due to severe neuropathy. I may be premature with this question since her PET scan isn’t done yet and the Signaterra results aren’t in, but the surgeon, who is so very gifted, believes another surgery to remove anything suspicious along with the HIPEC procedure should be the next step regardless of the results of these tests. I appreciate that the surgeon wants to be aggressive because of my daughter’s age and her young boys, but I’m discouraged that the first HIPEC didn’t keep the cancer at bay but for 6 months. Would maintenance chemo do the same or perhaps intermittent Folfirinox? How many times can a body endure that type of trauma?  If we wait until the cancer is visible again before doing another HIPEC, might it turn up in an even worse location?  Are there any stories of people surviving secondary peritoneal cancer for very long??I’m sorry to throw out so many questions but if anyone has experience with a similar situation, please share."
Stable scans but worrisome labs.,sandybrooks4,2024-09-11T22:14:57+00:00,"Long story short….originally stage iib colon cancer in May 2021.  Resection and 4 rounds of Oxaliplatin and NED for 2 years.  Now I have mets to liver and lungs.  Liver resection, one lung surgery and then 5 rounds of Irenotecan/5FU but disease progressed.  Now I'm 12 weeks into a trial drug.  Scan at 8 weeks showed ""stable"" nodules which I will take as a small win.  However during that 8 weeks, CEA went from 13 to 153.  Scans this week and labs on Monday.  Anyone else have similar story with a good outcome?"
Blood work,rbarreto,2024-09-07T20:54:18+00:00,"So I recently had 2 iron infusions for iron deficiency anemia. I just had my blood work redone and now my red blood cell count is high and it was normal before? Also my MCV, and MCH are lower than before and my RDW is higher than before? Anyone know anything about blood work?"
