Title,Author,Date,Content
Sensory Seizures after brain cancer surgery,monica_larosa,2024-06-08T05:20:52+00:00,"my husband had a GBM almost kill him now 2.5 years ago. He did 7 weeks chemo/radiation, they resected 80% in the hospital the day he almost died, and 1 year of TMZ. It was on the right side of his brain only. His scans have all been normal since that terrible day thank God, but he is having these random episodes of numbness and tingling in his hand, then goes to his face, then his legs for about 20 minutes and then he's back to normal. The first time he had an episode was about a year ago. I thought he was having a seizure or stroke so he went to the ER. Everything turned out great, the ER doc said it could be a small seizure or random nerve misfiring because his brain is still healing etc and to see a neurologist. Our neurologist said it was something called a sensory seizure and said if it happens again he would take away his driver's license and he can't work again for 6 months. During the episodes, my husband maintains full awareness and can move freely when it's happening which makes me question why it's even considered a seizure…. I'm an RN and I have never learned or heard of this until now. I've heard other doctors say it sounds like paresthesia from chemo/radiation or nerve healing.  Has anyone experienced this post-craniotomy/brain cancer? My husband went literally a year without driving or working after everything happened and it was soooo bad for him mentally…he is sooo happy to be back at work and he's getting the job he actually has always wanted now. We're just not sure what to do though with these episodes because of his safety and if they are really seizures, I'm concerned they are getting worse. I would love to tell his neurologist, but he would take everything away from my husband again which is so frustrating because he is not limited during them, confused, staring off, etc anything classified as what I know as a seizure."
Waiting for scan results,It_s_Just_Me,2024-05-20T21:17:56+00:00,"I was sent to get a brain CT w/ and w/o contrast. There were many white spots on the pictures w/o Con. But then on the contrast pictures, there were several new spots that appeared . Is there any reason other than tumors that new spots would light up with the contrast?  It’s been 6 days and I’m panicking at this point because I haven’t received any news from the radiologist. I didn’t anticipate anything to show up on the scans, let alone an entire colony. 😥.  I haven’t even told my family yet because I don’t have any official results."
I am a Grade 3 Anaplastic Ependymoma Survivor: Survivorship Story,btg_bri,2022-11-10T07:48:16+00:00,"Hello. I learned about this group during my most recent clinic visit. I want to connect with others who have undergone or can relate to my treatment story.In 2016 I turned 18 years old. Three weeks later I was diagnosed with a Grade 3 Anaplastic Ependymoma. I had attributed 6 months worth of daily headaches to being a senior in high school. Shortly following graduation, I learned the headaches were being caused by a brain tumor.The treatment plan was surgery, chemotherapy, & (proton) radiation therapy. I am fortunate to say surgery was successful with resecting the tumor; the surgeon felt strongly he was able to remove all of the tumor. The removal of the tumor would reduce the odds of tumor regrowth to 30%. The additional chemotherapy and radiation would further reduce the likelihood for regrowth to 20%.When I woke up I could not move the full right side of my body, nor could I feel anything on the right side. I had lost 50% of my vision. I could not read (part of this was aphasia, part of this was caused by the visual field cut).I spent a month at a medical rehabilitation facility. Through intense therapies, I regained my ability to walk with the support of a crutch. I began chemotherapy following my discharge from the hospital. I am fortunate to have only undergone two rounds of chemotherapy. I was hospitalized several times during treatment as a result of low blood cell counts that resulted in fevers. I also broke out with a rash that covered my back and abdomen (the oncologist was not sure why the rash was occurring, but I have my suspicions it was the chemo...).The most difficult part of chemotherapy treatment for me was losing my hair. Something as seemingly insufficient as hair loss had a huge impact on my mental health and perception of self. Up to that point, I had maintained a positive attitude regardless of the major life changes I was facing. The thing about hair loss is that it is visible. At first, I believed that perhaps not all of my hair would fall out. After 3 weeks of chemotherapy, I noticed I was losing a large amount of hair whenever I brushed or combed it. Within a week, it was to the point where there were patches where hair was missing throughout my head.  My mother's friend shaved my head later that week. I cried as it was being done. In reality, this was difficult for me because I was accepting the fact that what I had been going through and what I was going through was actually happening. I was sick, and people were going to know I was sick.  They could now see the 6"" of stitches on my bald head.I wore a knit hat for the next 8 months.I underwent chemotherapy treatment for 2 months. Shortly afterwards, I began proton radiation therapy. Proton radiation is a type of concentrated therapy that does not go beyond the targeted area/tissue. This treatment was intense; I received treatment 5 days a week for 6 weeks. It involved an 1 & 1/2 to 2 & 1/2 hour drive to and from the treatment facility. I experience high rates of fatigue within the first week of starting treatment. A plastic mask molded to fit my entire head was placed over my head to keep me from moving my head. Radiation, though the sessions only averaged 20 minutes or so, was the most difficult part of treatment for me.At this point in my treatment journey, it had been 5 months. My 3 month MRI scan showed there was residual radiation, but the tumor no longer existed. The treatment plan included a 3rd round of chemotherapy, one my family and I ultimately decided not to undergo. My treatment was part of a trial, and there was no subanal evidence to show it would increase or decrease the chances of regrowth.I spent 1 year in outpatient speech therapy, 6 months with outpatient occupational therapy, and two years receiving outpatient physical therapy treatment. In 2017, one year following the beginning of my cancer treatments, I enrolled in classes at a community college. I had a delayed reading ability, but with accommodations I was managing classes and coursework well.The first year following the surgery I had MRI's every 3 months. In 2018 the MRI's were moved to every 6 months, which remained the status until 2020. The highest rate of regrowth for Grade 3 Anaplastic Ependymomas occurs in the first 2 years. The next goal became hitting the 5 year mark.During the time I underwent treatments in 2016, myself and my family were connected with a family undergoing nearly identical experiences medically. The patient was 18 at the time of their surgery, chemotherapy, and radiation treatments. Our mothers connected well, and it was nice to connect with someone undergoing similar circumstances. This person and I did not talk much following treatment; we kept tabs via social media.I had finally reached a place during 2019 where I was no longer afraid of MRI results or random headaches I would get.In 2021, I was a few months away from reaching the 5 year milestone. My mom called one day with devastating news; the individual I met during treatment had passed away. This news triggered all of my medical trauma, all of my fears. I never thought this person or I would die as a result of cancer. We were beating the odds, because for a long time, we were.For months, I struggled with feelings of survivor's guilt. I stopped functioning for a month. I was constantly comparing myself and my achievements to this individual's. I still do.It's 2022 and I am 24 years old.  I am a senior in college; I am studying to be a Social Worker. I want to work within hospitals and medical facilities helping patients and their families cope with medical trauma/life changes.I am struggling to cope with feelings of not being good enough. There are so many lives lost to cancer. There are people who fought harder and longer than myself. There's often the thought in the back of my mind ""Why did I survive when so many people do not?"".My medical trauma is deep, I am working to manage it with therapy. Some days are harder than others. I am grateful to be alive, I am grateful for the ability I do have, and I am grateful for my family and the unconditional support they offer. The next milestone is to reach ""10 years cancer free"".My current challenge is trying to find the courage to visit the person's grave. I believe this is an important step in my healing journey.I know this story is long, I appreciate it if you have read this far. I hope this might be helpful to someone maybe one day. Learning you have cancer is terrifying because there is so much in the future that remains unknown/uncertain. Cancer takes so much from those it affects. It's important to have a strong support system by your side throughout the process.Best wishes,btg_bri"
High grade brain tumor treatment side effects,Deb483,2021-10-08T18:39:21+00:00,"Hello. My husband had a partial resection of his brain tumor and radiation 10 years ago. It was a low grade Glioma at that time. For the past 10 years we have just monitored with MRI's.  Minor growth until recently. Now it is growing fast and presents as either anaplastic astrocytoma or a glioblastoma. The doctor said it could be a grade 4 from viewing the MRI but biopsy isn't worth it. He is starting 6 weeks of radiation again but adding temodar at the same time. Then will do another 6 months of temodar. Has anyone done this treatment plan and if so was it successful at all. Also is it really tough side effects?  He is very physically healthy only issues is the brain cancer. Minor seizures, memory and confusion, fatigue, headaches etc.  still hikes and kayaks etc.  We are just anxious and trying to prepare as best we can for this treatment. We appreciate any feedback or advice. Thank you"
Looking for help,amolson65,2023-10-24T17:23:05+00:00,"My daughter and 4-year-old grandson are in Utah's Children's Hospital and I am trying to find some help for her. My 4-year-old grandson named Zane has Pinoblastoma. (sorry if I spelled it wrong.) He has just gone for his 3 surgery already. He was supposed to come home to Reno, NV. But needed another surgery. I am grandma have been caring for the other 3 grandchildren. But my daughter is very concerned with things that are really bugging her. She is worried about the utilities, also about transportation for her son when he gets home from Utah. She lost her car because she has been out of work because of this. So please any help sure would be appreciated."
42yr old sister diagnosed with Glioma,AAhope,2023-02-27T14:49:01+00:00,"My sister was diagnosed with a glioma a few weeks ago.  She had brain surgery within 2 days and all was removed.  Her prognosis, as you know, is 12-18 months. I am up and I am down.  Life is more precious than it even was before.  I can’t fix this for her.  I am so sad I burst out crying without even knowing I was going to…. I can handle my grief… but am feeling so sorry for my sister.  So sad she has to face this and be worried on a daily basis about the inevitable.  I am someone who thinks positively and I know she can beat the odds.  But I am so sad. Does anyone have experience helping a close family member through this… how do I start?"
Glioblastoma,Texan24Seven,2023-10-16T10:38:21+00:00,Want to discus alternate treatments that are not mainstream
Glioblastoma with changing behavior,aimeeb,2023-10-15T04:20:35+00:00,"Hi all. My mother in law was diagnosed with glioblastoma back in November 2022. A few months back she started getting really confused and would call myself if her son anywhere between 30-70 times in a 8-hour period, as if she just couldn’t remember calling and speaking with us. Every week thereafter things were only getting worse  Fast forward to the present. About 2-weeks ago we had to place her in an assisted facility because we both work all day and she was at the point she couldn’t be left alone. She was really bad when we moved her into the facility and stayed that way the first week and then lo and behold, this past week, she is literally back to her old self…..mind you, we haven’t seen the old person in probably 5-6 months) she went from calling us continuously, asking what she should be doing and where she was, etc., back to her former self. we’re trying to figure out what is going on. Her next scan is in a week but her behavior has totally changed for the good. Everyone is flabbergasted at the sudden change. basically, if she were like she is now when we moved her tk the facility, we would’ve never moved her  my mind is blown  has anyone experienced this with their loved one?"
Juvenile Pilocytic Astrocytoma Recurrence - Starting Chemo,JBall3,2019-09-01T05:08:44+00:00,"Hello - My 3 year old grandson was recently diagnosed with a JPA in December 2018. The surgeon was able to resect what she felt was 100% of the tumor. 10 months later, the MRI show a recurrence of the tumor and his  oncologist wants to immediately put him on a chemo regimen of Carboplatin and Vincristine. We were told that these two drugs are a first line of defense in childhood tumors. They also carry with them the common side effects of chemo, including, in rare cases, hearing loss and possible secondary cancer. This is a benign grade 1 tumor.  Due to the location which is on the brain stem, the oncologist does not want to start immediately to avoid any symptoms of the tumor since its not causing any at this time.  It is pure agony giving my otherwise healthy grandkid a year's worth of chemotherapy. I'd really like to hear from someone who has gone through something similar. I'm interested in hearing from parents/patients that went through this regimen. 
Thanks in advance for your comments and any recommendations."
Glioblastoma grade4,Debi15339,2017-08-12T04:04:51+00:00,"hi, I have just been reading your stories about alternative therapies.  I AM a 58 year old female after a week of losing ability to use my r,hand and then arm, an MRI was done and on 11/28/16, an MRI showed a tumor about the size of a small orange, 1 week later it was resected with the surgeon saying. He got 99% of it.  2 weeks later, we found that it was glioblastoma grade 4.  I then had 42 treatments of radiation and am taking the termz.  For 5 days and then off for 3 weeks, with MRI every 2 months.  I will be doing that for 6 months with 2 months to go.  I am very tired now with no energy, but the last MRI showed a tiny dot of cancer.  i don't know what happens in oct. when I have completed this.  My august 2017 shows a second white spot and my doctors are doing an MRI after my next dose of chemo.  I have heard about the duke trials, and my dr.says we are getting ready for that.  I am just interested In hearing where you are on this journey.  This has been one of the worst nightmares of my life, yet the good Lord has taken extremely good care of me and I have little to no pain, just a total change of lifestyle and loss of use of my right side of which I am regaining use of.  Thanks and prayers for all who walk this road!"
Glioblastoma,Rlmbuddy,2017-04-19T19:24:06+00:00,Experiences with glioblastoma II on radiation and temodar following surgery
Total shutdown after being pulled from steroids,Lindav240,2023-08-25T21:20:54+00:00,"Hi, my loved one was diagnosed with glioblastoma, they had surgery, went through the 6 weeks of radiation/chemo combo, and is now taking infusion once a month and chemo 5 days a month every month for six months (she is on month 2 now). This entire time she has been on steroids and recently we pulled her off, but she basically shut down, had no verbal response, sleeping constantly, and had incontinence. This sent her to the ER and the doctors don't know what caused this. She has now been put on high-dose steroids and she is low functioning again. Has this happened to anyone / does anyone have a similar experience and could shed some light on the situation? Thank you!"
Rate pineal tumor,mamabear0004,2023-08-10T23:23:15+00:00,"7 yrs of fighting and watching my sweet son have seizures since age 16 and other awful symptoms. The tumor initially being missed and told he has epilepsy which I never believed! The fight to find a nuerosurgeon capable of resecting this mass has been tremendous, now very short notice after consulting with his nuerosurgeon that surgery will be on Aug 14th...just 4 short days! No time to prepare his recovery or the financial needs that entail 3-6 mo off work. We are desperate for help."
feeling helpless and feeling my marriage is falling apart,kellbell,2009-07-06T21:51:54+00:00,My husband was diagnosed 10 years ago with an astrocytoma stage 4. they couldnt operate because of where it was. they radiated and he has been in remission up until 2 months ago. He had surgery 3 weeks ago and what a struggle that has been. He is not the same man that he used to be. He is so bitter and angry and directs it all towards me.. He tells me all the time that he doesnt like me and looks at me with hatred in his eyes. We have been together for 16 years and married 5 years with 2 beautiful daughters age16 and 13. When I leave the house he thinks that i am going out and cheating on him. The anger he has is out of this world. HE will start his first chemo treatment tomorrow afternoon and i am afraid it is just going to get worse from here.I feel so helpless watching him go through this but he refuses to let me help and will not open up to me and share with me wut is going on with ahim and why he is so angry. He is pushing me away and I dont understand why. I feel like my marriage isn't going to survive this. IF anyone out there has any suggestions please let me know. I am in need of some advice or some help.
acoustic neuroma,katmumof3,2006-02-27T09:01:14+00:00,"i was recently diagnosed with an acoustic neuroma, I have no hearing loss or tinittus, no facial paralysis, only slight vertigo. my tumor is 1.8 cm long, so not large yet, but it's touching the brain stem already. What are the risks connected with the tumor touching the brain stem?  Does anyone know what the chances are of it being malignant? i've been told they're usually benign, but statistics wise i have no idea how to interpret that, lol. Does anyone know if they're a rare tumor? If anyone has some information  i would be very appreciative, I feel somewhat in the dark about it."
Adult w/ ependymoma,AnnieCatBlue,2023-05-19T18:02:31+00:00,"I was diagnosed at age 51 with a brain tumor in 2019 and had it removed in October of 2022. It never really gave me any major problems until about 12 months before surgery. I began having minor dizzy spells and double vision, only when I looked left.  My surgeon removed all of it.  I had 6 weeks of radiation. My issues now are double vision and pretty bad balance. I've done PT and OT for several months and both improved somewhat, then just kinda stopped. I still do the exercises but am not seeing any more improvement. My vision is what I'm mostly concerned about. Seeing two of everything is just worst thing ever. And I hate wearing a patch. My surgeon says it might never get better, my radiologist says it could take up to 2 years, my eye specialist says it's too severe for special lenses.  Has anyone experienced anything like this, and if so, is there light at the end of the tunnel?"
Burning out my support system,jenzed,2023-03-15T19:28:28+00:00,"After undergoing chemo and radiation in October of last year, my monthly chemo cycles go for another year through Nov '23. (Grade II Inoperable Brain Stem Astrocytoma.) I have good days and bad days, and feel as if I am burning out my support system (friends and husband) on my bad days. I know this is a ""new normal"". I know the best case I have a chronic illness, hopefully for some time ahead of me. Everyone seems to be pulling back after the first couple of months, but my monthly chemo symptoms remain."
Astrocytoma Grade III-Survivor,Quilmes,2008-03-26T15:56:45+00:00,"If any one needs help please let me know, I went through brain cancer and have lived. My calling is to help others survive also.Jose"
Radiation Recovery,greatdayinmt,2022-12-30T22:32:46+00:00,"On 9/8/22 I was diagnosed with low-grade glioma of the brainstem.  I underwent surgery on 8/23.  Resection was not possible.  I completed 6-weeks of radiation treatment on November 11.  I am seeking to understand what recovery looks like.  I am still quite sick.  Mornings are typically best, but by 1:00 pm I am 'sick'.  It's difficult to describe because the nausea isn't like nausea associated with the flu or food poisoning.  I have extreme fatigue.  When nausea and fatigue set in my limbs feel like they are in cement blocks.  I am supposed to start working again this coming week.  I need to as I am a single parent and need the income and benefits.  However, these symptoms make it difficult to think clearly.  Can you tell me if this is common?  What remedies helped to alleviate this?  I'm open to alternative options, nutrition, physical therapy...Thank you."
Grade 3 papillary tumor of the pineal region,tyrex248,2023-03-15T08:54:58+00:00,"Hello, I’m new here.this is my first post so I will tell my story, I’m 27 and was diagnosed with a brain tumor in November 2022. In December I had a partial resection because of where the tumors are the doctor couldn’t safely remove because the main artery in my brain that Carrie’s blood to the brain is wrapped around the tumor. Because of the type rod tumor I was found to have the doctors believe I’ve had it for some time as my tumor is found majority in children. After surgery they let me recover for about a month and then we were to start radiation. I went back for my mri before radiation started and they had found that since surgery the tumor is now twice the size it was before surgery and the cancer had found it’s way into my csf and spread to my spine. My doctor said it’s called leptomeningeal disease? I guess the real reason I posted on here is I’ve never really had anyone in my life I was close to get cancer, I don’t have anyone to talk to, and I’m kind of losing my head, I don’t know how to cope with the fact that I’m dying and I’m taking it out on my loved ones. They don’t deserve it, and I don’t want that to be how I’m remembered by them. I need help"
